Date,Time,longitude,latitude,altitude,PM10,PM2_5,CO,NO
11/12/2019/,6:21:31,6.795035,79.907951,0,3,4,4.9062,0.0792
11/12/2019/,6:21:31,6.795035,79.907951,0,1,2,4.9062,0.0792
11/12/2019/,6:21:39,6.795036,79.907944,0,0,1,4.9062,0.0792
11/12/2019/,6:21:39,6.795036,79.907944,0,0,1,4.9062,0.0792
11/12/2019/,6:21:39,6.795036,79.907944,0,0,1,4.9062,0.0986
11/12/2019/,6:21:50,6.795039,79.907967,0,0,1,3.9296,0.0889
11/12/2019/,6:21:50,6.795039,79.907967,0,0,1,3.9296,0.0889
11/12/2019/,6:21:50,6.795039,79.907967,0,0,1,3.9296,0.0889
11/12/2019/,6:22:01,6.795038,79.907967,0,0,1,4.9062,0.1084
11/12/2019/,6:22:01,6.795038,79.907967,0,0,1,4.9062,0.1084
11/12/2019/,6:22:01,6.795038,79.907967,0,0,1,5.8827,0.0792
11/12/2019/,6:22:12,6.795038,79.907967,0,0,1,7.8358,0.0792
11/12/2019/,6:22:12,6.795038,79.907967,0,0,1,7.8358,0.0792
11/12/2019/,6:22:12,6.795038,79.907967,0,0,1,4.9062,0.0792
11/12/2019/,6:22:23,6.795022,79.907898,0,0,1,3.9296,0.0695
11/12/2019/,6:22:23,6.795022,79.907898,0,1,2,3.9296,0.0695
11/12/2019/,6:22:23,6.795022,79.907898,0,1,2,5.8827,0.0792
11/12/2019/,6:22:34,6.794806,79.907669,0,4,5,5.8827,0.0792
11/12/2019/,6:22:34,6.794806,79.907669,0,4,5,5.8827,0.0792
11/12/2019/,6:22:34,6.794806,79.907669,0,3,4,4.9062,0.0792
11/12/2019/,6:22:45,6.7944,79.907387,0,1,2,5.8827,0.0792
11/12/2019/,6:22:45,6.7944,79.907387,0,0,1,5.8827,0.0792
11/12/2019/,6:22:45,6.7944,79.907387,0,0,1,4.9062,0.0597
11/12/2019/,6:22:56,6.794016,79.907059,0,0,1,5.8827,0.0986
11/12/2019/,6:22:56,6.794016,79.907059,0,0,1,5.8827,0.0986
11/12/2019/,6:22:56,6.794016,79.907059,0,0,1,4.9062,0.0792
11/12/2019/,6:23:07,6.793707,79.906799,0,0,1,5.8827,0.0792
11/12/2019/,6:23:07,6.793707,79.906799,0,0,1,5.8827,0.0792
11/12/2019/,6:23:07,6.793707,79.906799,0,0,1,7.8358,0.0792
11/12/2019/,6:23:18,6.793633,79.906456,0,0,1,4.9062,0.0889
11/12/2019/,6:23:18,6.793633,79.906456,0,0,1,4.9062,0.0889
11/12/2019/,6:23:18,6.793633,79.906456,0,0,1,6.8592,0.0889
11/12/2019/,6:23:29,6.793739,79.906075,0,0,1,4.9062,0.0889
11/12/2019/,6:23:29,6.793739,79.906075,0,0,1,4.9062,0.0889
11/12/2019/,6:23:29,6.793739,79.906075,0,0,1,4.9062,0.0986
11/12/2019/,6:23:40,6.793971,79.905846,0,0,1,4.9062,0.0792
11/12/2019/,6:23:40,6.793971,79.905846,0,0,1,4.9062,0.0792
11/12/2019/,6:23:40,6.793971,79.905846,0,0,1,4.9062,0.0889
11/12/2019/,6:23:51,6.794253,79.905777,0,0,1,3.9296,0.0889
11/12/2019/,6:23:51,6.794253,79.905777,0,0,1,3.9296,0.0889
11/12/2019/,6:23:51,6.794253,79.905777,0,0,1,4.9062,0.0792
11/12/2019/,6:24:02,6.794609,79.90567,0,0,1,4.9062,0.0986
11/12/2019/,6:24:02,6.794609,79.90567,0,0,1,4.9062,0.0986
11/12/2019/,6:24:02,6.794609,79.90567,0,0,1,4.9062,0.0889
11/12/2019/,6:24:13,6.79497,79.905418,0,0,1,4.9062,0.0695
11/12/2019/,6:24:13,6.79497,79.905418,0,0,1,4.9062,0.0695
11/12/2019/,6:24:13,6.79497,79.905418,0,0,1,3.9296,0.0695
11/12/2019/,6:24:24,6.795029,79.904984,0,0,1,3.9296,0.0695
11/12/2019/,6:24:24,6.795029,79.904984,0,0,1,3.9296,0.0695
11/12/2019/,6:24:24,6.795029,79.904984,0,0,1,4.9062,0.1084
11/12/2019/,6:24:35,6.794989,79.904541,0,0,1,6.8592,0.0889
11/12/2019/,6:24:35,6.794989,79.904541,0,0,1,6.8592,0.0889
11/12/2019/,6:24:35,6.794989,79.904541,0,0,1,3.9296,0.0889
11/12/2019/,6:24:46,6.794992,79.904144,0,0,1,4.9062,0.0695
11/12/2019/,6:24:46,6.794992,79.904144,0,0,1,4.9062,0.0695
11/12/2019/,6:24:46,6.794992,79.904144,0,0,1,4.9062,0.0792
11/12/2019/,6:24:57,6.795232,79.903748,0,0,1,4.9062,0.0792
11/12/2019/,6:24:57,6.795232,79.903748,0,0,1,4.9062,0.0792
11/12/2019/,6:24:57,6.795232,79.903748,0,0,1,2.9531,0.0792
11/12/2019/,6:25:08,6.795225,79.903328,0,0,1,2.9531,0.0597
11/12/2019/,6:25:08,6.795225,79.903328,0,0,1,2.9531,0.0597
11/12/2019/,6:25:08,6.795225,79.903328,0,0,1,3.9296,0.0695
11/12/2019/,6:25:19,6.794946,79.902992,0,0,1,3.9296,0.0792
11/12/2019/,6:25:19,6.794946,79.902992,0,0,1,3.9296,0.0792
11/12/2019/,6:25:19,6.794946,79.902992,0,0,1,4.9062,0.0889
11/12/2019/,6:25:30,6.79465,79.902748,0,0,1,5.8827,0.0792
11/12/2019/,6:25:30,6.79465,79.902748,0,0,1,5.8827,0.0792
11/12/2019/,6:25:30,6.79465,79.902748,0,0,1,5.8827,0.0792
11/12/2019/,6:25:41,6.794488,79.902344,0,0,1,5.8827,0.0695
11/12/2019/,6:25:41,6.794488,79.902344,0,0,1,5.8827,0.0695
11/12/2019/,6:25:41,6.794488,79.902344,0,0,1,6.8592,0.0695
11/12/2019/,6:25:41,6.794488,79.902344,0,0,1,5.8827,0.0986
11/12/2019/,6:25:56,6.794629,79.901764,0,0,1,5.8827,0.0792
11/12/2019/,6:25:56,6.794629,79.901764,0,0,1,5.8827,0.0792
11/12/2019/,6:25:56,6.794629,79.901764,0,0,1,4.9062,0.0889
11/12/2019/,6:26:07,6.794765,79.901245,0,0,1,5.8827,0.0986
11/12/2019/,6:26:07,6.794765,79.901245,0,0,1,5.8827,0.0986
11/12/2019/,6:26:07,6.794765,79.901245,0,0,1,4.9062,0.0792
11/12/2019/,6:26:18,6.794922,79.900772,0,0,1,6.8592,0.0889
11/12/2019/,6:26:18,6.794922,79.900772,0,0,1,6.8592,0.0889
11/12/2019/,6:26:18,6.794922,79.900772,0,0,1,5.8827,0.0792
11/12/2019/,6:26:29,6.795084,79.900368,0,0,1,4.9062,0.0889
11/12/2019/,6:26:29,6.795084,79.900368,0,0,1,4.9062,0.0889
0/0/2000/,6:26:33,6.795119,79.900261,0,0,1,5.8827,0.0792
0/0/2000/,6:26:33,6.795119,79.900261,0,0,1,5.8827,0.0792
0/0/2000/,6:26:33,6.795119,79.900261,0,0,1,4.9062,0.0792
11/12/2019/,6:26:47,6.795223,79.900024,0,0,1,3.9296,0.0986
11/12/2019/,6:26:47,6.795223,79.900024,0,0,1,3.9296,0.0986
11/12/2019/,6:26:47,6.795223,79.900024,0,0,1,5.8827,0.0695
11/12/2019/,6:26:58,6.795347,79.899643,0,0,1,5.8827,0.0889
11/12/2019/,6:26:58,6.795347,79.899643,0,0,1,5.8827,0.0889
11/12/2019/,6:26:58,6.795347,79.899643,0,0,1,3.9296,0.0889
11/12/2019/,6:27:09,6.795439,79.899315,0,0,1,3.9296,0.0695
11/12/2019/,6:27:09,6.795439,79.899315,0,0,1,3.9296,0.0695
11/12/2019/,6:27:09,6.795439,79.899315,0,0,1,4.9062,0.0792
11/12/2019/,6:27:20,6.795511,79.898888,0,0,1,4.9062,0.0792
11/12/2019/,6:27:20,6.795511,79.898888,0,0,1,4.9062,0.0792
11/12/2019/,6:27:20,6.795511,79.898888,0,0,1,4.9062,0.0695
11/12/2019/,6:27:31,6.795602,79.89846,0,0,1,4.9062,0.0889
